Part,SKU,Model,Quantity,Price (AUD),Price (USD),Shipping (AUD),Shipping (USD),Total (AUD),Total (USD),Link,
Audio Transformer,C48357,HR610660,2, $-   , $2.51 , $-   , $9.34 , $18.20 , $11.85 ,https://lcsc.com/product-detail/Audio-Transformers_HANRUN-Zhongshan-HanRun-Elec-HR610660_C48357.html,
Audio Codec,C365736,ES8388,1, $-   , $1.03 , $-   , ' , $1.58 , $1.03 ,https://lcsc.com/product-detail/ADCs-DACs-Special-Purpose_Everest-semi-Everest-Semiconductor-ES8388_C365736.html,
XLR3 Male,C368463,NC3MAAH,1, $-   , $1.57 , $-   , ' , $2.41 , $1.57 ,https://lcsc.com/product-detail/XLR-Cannon-Connectors_Neutrik-NC3MAAH_C368463.html,
XLR3 Female,C368521,NC3FAAH,1, $-   , $1.43 , $-   , ' , $2.20 , $1.43 ,https://lcsc.com/product-detail/XLR-Cannon-Connectors_Neutrik-NC3FAAH_C368521.html,
Rotary Encoder w/ Button,C143797,PEC11R-4220F-S0024,1, $-   , $2.80 , $-   , ' , $4.30 , $2.80 ,https://lcsc.com/product-detail/Rotary-Encoders_BOURNS-PEC11R-4220F-S0024_C143797.html,
Audio Jack,C2939172,PJ-306M,5, $-   , $1.14 , $-   , ' , $1.75 , $1.14 ,https://lcsc.com/product-detail/Audio-Connectors_HOOYA-PJ-306M_C2939172.html,
Slide Switch (SP3T),C393948,SK13D07VG5,20, $-   , $0.66 , $-   , ' , $1.01 , $0.66 ,https://lcsc.com/product-detail/Slide-Switches_SHOU-HAN-SK13D07VG5_C393948.html,
Microcontroller,WS-25081,ESP32-S3-Zero,1, $9.30 , $-   , $-   , $-   , $9.30 , $6.05 ,https://core-electronics.com.au/esp32-s3-mini-development-board-retired.html,
Encoder Knob,ADA5093,-,1, $1.80 , $-   , $-   , $-   , $1.80 , $1.17 ,https://core-electronics.com.au/slim-rubber-rotary-encoder-knob-11-5mm-x-14-5mm-d-shaft.html,
LED Bar Graph,CE08035,WS2812B,1, $4.90 , $-   , $-   , ' , $4.90 , $3.19 ,https://core-electronics.com.au/glowbit-stick-1x8.html,
M2x38,,,4,,,,, $-   , $-   ,,
M1.6x12,,,2,,,,, $-   , $-   ,,
PCB,JLCPCB,,5, $3.07 , $-   , $16.59 , $-   , $19.66 , $12.80 ,https://jlcpcb.com,
PCB Assembly (for ES8388),JLCPCB,,2, $23.67 ,,,, $23.67 , $15.41 ,https://jlcpcb.com,
Case,Printing Legion,,, $-   , $-   , $5.00 , $-   , $7.68 , $3.25 ,https://printlegion.hackclub.com,
Total,,,,,,,, $98.46 , $62.35 ,,
